".\VolumeSampling.exe -i .\Dragon_50k.obj -o Dragon_50k.vtk --viscosity 0.05 -r 0.04 -s "2.5 2.5 2.5""
"id","Points:0","Points:1","Points:2"
456,-0.37969,1.6333,-0.3339
457,-0.68432,1.6852,-0.37237
458,-0.62514,1.6663,-0.39467
459,-0.57064,1.6691,-0.42137
460,-0.49243,1.7005,-0.38699
461,-0.41841,1.6721,-0.39243
462,-0.7306,1.7531,-0.34404
463,-0.68217,1.7607,-0.37713
464,-0.57001,1.7482,-0.35208
465,-0.47472,1.7733,-0.3588
466,-0.43301,1.7261,-0.34387
467,-0.6881,1.8234,-0.36642
468,-0.62037,1.792,-0.40551
469,-0.53532,1.8109,-0.37106
470,-0.48592,1.8002,-0.41694
471,-0.66249,1.8576,-0.34536
472,-0.22414,2.0203,-0.31626
473,-0.15719,2.0361,-0.34247
474,-0.11324,2.0549,-0.34407
475,-0.49509,0.060993,-0.25651
476,-0.42422,0.060796,-0.25818
477,-0.34721,0.054521,-0.2388
478,0.56286,0.065642,-0.25539
479,0.96102,0.069618,-0.25955
480,-1.1496,0.12561,-0.32132
481,-1.0822,0.13988,-0.32808
482,-0.68534,0.11928,-0.34991
483,-0.60934,0.099419,-0.33226
484,-0.53568,0.083864,-0.32308
485,-0.46537,0.080759,-0.32966
486,-0.40266,0.10467,-0.33038
487,-0.29809,0.12095,-0.28338
488,0.45624,0.13361,-0.29687
489,0.51643,0.11768,-0.29702
490,0.59695,0.11566,-0.28323
491,0.84943,0.13431,-0.33019
492,0.91097,0.11343,-0.32277
493,0.95772,0.10365,-0.30176
494,-1.1642,0.16198,-0.31086
495,-1.0957,0.18188,-0.2867
496,-1.0235,0.14013,-0.28621
497,-0.96727,0.16291,-0.28639
498,-0.8995,0.1847,-0.27863
499,-0.79968,0.17526,-0.29826
500,-0.73715,0.1438,-0.28993
501,-0.66421,0.14385,-0.29324
502,-0.58453,0.15459,-0.29016
503,-0.50853,0.15975,-0.29035
504,-0.42662,0.17214,-0.28926
505,-0.34539,0.16638,-0.29749
