"id","Points:0","Points:1","Points:2"
681,0.6904,1.3645,-0.42429
682,0.74097,1.3656,-0.41282
683,0.79123,1.3585,-0.39969
684,-0.5923,1.4144,-0.37413
685,-0.53418,1.4145,-0.39668
686,-0.48551,1.4077,-0.38786
687,-0.43553,1.4177,-0.36643
688,0.20906,1.404,-0.38334
689,0.25361,1.4126,-0.39916
690,0.30803,1.4084,-0.39515
691,0.37431,1.4066,-0.39198
692,0.43197,1.4101,-0.394
693,0.48789,1.4104,-0.39588
694,0.54358,1.4095,-0.39509
695,0.60147,1.4104,-0.39144
696,0.67097,1.4124,-0.39682
697,0.7219,1.4144,-0.39985
698,0.76756,1.4105,-0.38745
699,0.81766,1.4006,-0.36631
700,-0.56537,1.4743,-0.40705
701,-0.51955,1.4513,-0.42074
702,-0.45083,1.4598,-0.41219
703,0.29476,1.4456,-0.39602
704,0.35361,1.4536,-0.41168
705,0.40454,1.458,-0.41619
706,0.46016,1.4614,-0.42127
707,0.51578,1.4621,-0.4222
708,0.56959,1.4622,-0.41979
709,0.62386,1.4599,-0.41284
710,0.67963,1.4535,-0.39568
711,-0.6308,1.5027,-0.37061
712,-0.59749,1.5052,-0.40145
713,-0.54146,1.5125,-0.39443
714,-0.48062,1.5103,-0.39444
715,-0.41401,1.498,-0.4033
716,-0.3841,1.5135,-0.37796
717,0.32423,1.4914,-0.36762
718,0.37958,1.4971,-0.38007
719,0.43291,1.5005,-0.38607
720,0.48821,1.5015,-0.39143
721,0.54383,1.5014,-0.39207
722,0.59839,1.5015,-0.3878
723,0.65187,1.4945,-0.37404
724,-0.60172,1.554,-0.40448
725,-0.5674,1.5543,-0.43461
726,-0.51447,1.5579,-0.42056
727,-0.4486,1.5531,-0.42383
728,-0.3809,1.5593,-0.41895
729,-0.63145,1.6006,-0.37163
730,-0.60347,1.608,-0.40641
731,-0.54201,1.6074,-0.394
732,-0.4819,1.6076,-0.39059
733,-0.42472,1.6109,-0.39389
734,-0.38511,1.6054,-0.37907
735,-0.67192,1.6741,-0.38905
736,-0.61916,1.6573,-0.40869
737,-0.57002,1.6563,-0.43321
738,-0.51587,1.6569,-0.41931
739,-0.45073,1.6587,-0.42089
740,-0.39449,1.6567,-0.41656
741,-0.70314,1.7098,-0.37637
742,-0.64918,1.709,-0.40195
743,-0.59898,1.7041,-0.39378
744,-0.5375,1.7048,-0.39208
745,-0.47862,1.7109,-0.38767
746,-0.42299,1.7068,-0.38532
747,-0.66652,1.7486,-0.39549
748,-0.62322,1.7552,-0.42478
749,-0.56182,1.7558,-0.41351
750,-0.50436,1.7597,-0.41837
751,-0.44186,1.7639,-0.4138
752,-0.70083,1.8085,-0.37221
